date,PM10,PM2.5,PM1
5/23/2019 7:57:49 PM,40.1,20.8,13.6
5/23/2019 7:57:55 PM,49,20.1,13.1
5/23/2019 7:58:01 PM,37.7,21.9,13.8
5/23/2019 7:58:07 PM,44.2,18.8,13.2
5/23/2019 7:58:13 PM,51.9,21.5,14
5/23/2019 7:58:19 PM,46.1,20.7,13.6
5/23/2019 7:58:25 PM,67.6,20.6,14
5/23/2019 7:58:31 PM,44.4,20.2,14
5/23/2019 7:58:37 PM,58,21,13.7
5/23/2019 7:58:43 PM,50.8,22.4,14.3
5/23/2019 7:58:49 PM,46.6,22.8,14.2
5/23/2019 7:58:55 PM,39.1,23.3,14.6
5/23/2019 7:59:01 PM,54.8,17,13.3
5/23/2019 7:59:07 PM,29.7,18.9,13.3
5/23/2019 7:59:13 PM,31.6,19.8,14.2
5/23/2019 7:59:19 PM,33.6,23.5,13.8
5/23/2019 7:59:25 PM,36.3,22.4,13.6
5/23/2019 7:59:31 PM,32.2,20.4,13.7
5/23/2019 7:59:37 PM,29.8,19.7,13.9
5/23/2019 7:59:43 PM,39,21.9,13.9
5/23/2019 7:59:49 PM,39.4,24.4,14.5
5/23/2019 7:59:55 PM,51.4,23.3,15
5/23/2019 8:00:01 PM,36.8,18.4,13.8
5/23/2019 8:00:07 PM,33,21.4,14.2
5/23/2019 8:00:13 PM,54.1,20.4,14
5/23/2019 8:00:19 PM,38.4,20.9,14
5/23/2019 8:00:25 PM,48.4,21.2,14.1
5/23/2019 8:00:31 PM,33.7,21.3,13.6
5/23/2019 8:00:37 PM,33.3,18.7,13.4
5/23/2019 8:00:43 PM,58.3,19.9,14
5/23/2019 8:00:49 PM,47.6,20.2,14.2
5/23/2019 8:00:55 PM,32.5,21.6,14.5
5/23/2019 8:01:01 PM,29.3,18.7,13.1
5/23/2019 8:01:07 PM,28.4,17.8,13.7
5/23/2019 8:01:13 PM,48.3,21.3,14.6
5/23/2019 8:01:19 PM,35.9,19.8,13.3
5/23/2019 8:01:25 PM,33.2,20.5,13.6
5/23/2019 8:01:31 PM,41.4,26.5,14.2
5/23/2019 8:01:37 PM,35.7,19.2,13.5
5/23/2019 8:01:43 PM,42.7,19.4,13.6
5/23/2019 8:01:49 PM,46.8,20.3,14.2
5/23/2019 8:01:55 PM,29.6,19.7,13.9
5/23/2019 8:02:01 PM,39,18.1,13.6
5/23/2019 8:02:07 PM,41.3,21.2,14.3
5/23/2019 8:02:13 PM,38.9,22.5,14.4
5/23/2019 8:02:19 PM,39.9,25.2,14.2
5/23/2019 8:02:25 PM,44.3,20.7,13.6
5/23/2019 8:02:31 PM,42.6,23.7,14.4
5/23/2019 8:02:37 PM,46.1,20.1,13.7
5/23/2019 8:02:43 PM,43,22.3,14.2
5/23/2019 8:02:49 PM,39.2,20.1,14.3
5/23/2019 8:02:55 PM,39,18.8,13.7
5/23/2019 8:03:01 PM,34.5,21.4,14.2
5/23/2019 8:03:07 PM,40.6,20.1,14.1
5/23/2019 8:03:13 PM,33.3,20.1,13.8
5/23/2019 8:03:19 PM,27.9,22.5,14.2
5/23/2019 8:03:25 PM,36.8,23.3,14.6
5/23/2019 8:03:31 PM,47,22.8,14.6
5/23/2019 8:03:37 PM,35.4,19.6,13.9
5/23/2019 8:03:43 PM,32.6,20,14.1
5/23/2019 8:03:49 PM,49.2,20.8,13.6
5/23/2019 8:03:55 PM,44.9,21.9,14.5
5/23/2019 8:04:01 PM,40,23,14.8
5/23/2019 8:04:07 PM,31.3,22.1,14.2
5/23/2019 8:04:13 PM,45,18.9,14
5/23/2019 8:04:19 PM,30.5,21.4,14.6
5/23/2019 8:04:25 PM,31.1,22.3,14.5
5/23/2019 8:04:31 PM,29.7,19.9,14
5/23/2019 8:04:37 PM,48.9,19.9,14
5/23/2019 8:04:43 PM,36.1,20.6,14.7
5/23/2019 8:04:49 PM,33.3,19.7,14
5/23/2019 8:04:55 PM,40.2,23.4,14.6
5/23/2019 8:05:01 PM,45.4,21.7,15.1
5/23/2019 8:05:07 PM,32.7,20.1,14.6
5/23/2019 8:05:13 PM,31.4,22.5,14.8
5/23/2019 8:05:19 PM,38.2,21.4,14.1
5/23/2019 8:05:25 PM,39.3,22.6,14.9
5/23/2019 8:05:31 PM,42.4,23.9,14.8
5/23/2019 8:05:37 PM,34.8,22,14.7
5/23/2019 8:05:43 PM,40,24.1,15
5/23/2019 8:05:49 PM,45.7,22.4,15.1
5/23/2019 8:05:55 PM,29,23.1,15.1
5/23/2019 8:06:01 PM,39.9,21.8,15.1
5/23/2019 8:06:07 PM,48,19.5,14.7
5/23/2019 8:06:13 PM,44,23,15.9
5/23/2019 8:06:19 PM,29,20.5,15.1
5/23/2019 8:06:25 PM,23.5,18.4,14.4
5/23/2019 8:06:31 PM,41.6,21.3,15.4
5/23/2019 8:06:37 PM,35.5,22.5,14.6
5/23/2019 8:06:43 PM,33.3,25.1,15.6
5/23/2019 8:06:49 PM,30.1,22.9,16
5/23/2019 8:06:55 PM,39.7,25.9,15.3
5/23/2019 8:07:01 PM,43.6,19.3,14.1
5/23/2019 8:07:07 PM,42.6,23.5,15.2
5/23/2019 8:07:13 PM,38,22,15
5/23/2019 8:07:19 PM,48,24.7,15.3
5/23/2019 8:07:25 PM,29.9,21.6,14.7
5/23/2019 8:07:31 PM,34.5,20.9,14.8
5/23/2019 8:07:37 PM,35.7,21.1,14.7
